City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,chonchi,-42.6128,-73.8092,5.07,97,24,1.17,CL,1731302430
179,olonkinbyen,70.9221,-8.7187,0.96,98,100,7.46,SJ,1731302431
180,tabou,4.423,-7.3528,25.27,87,11,2.51,CI,1731302432
181,san antonio de pale,-1.4014,5.6325,25.76,85,83,4.48,GQ,1731302433
182,daru,-9.0763,143.2092,27.92,76,100,4.65,PG,1731302434
183,port blair,11.6667,92.75,31.02,74,40,2.57,IN,1731302364
184,vernon,50.2581,-119.2691,7.18,84,100,1.54,CA,1731302352
185,wotje,9.4543,170.2367,28.28,78,13,7.52,MH,1731302438
186,coeur d'alene,47.6777,-116.7805,6.8,95,100,2.57,US,1731302439
187,kirando,-7.4167,30.6,23.31,81,99,3.13,TZ,1731302441
188,ikalamavony,-21.15,46.5833,26.07,51,7,1.34,MG,1731302365
189,champerico,14.3,-91.9167,26.99,80,79,1.26,GT,1731302444
190,ewo,-0.8725,14.8206,20.9,92,100,0.46,CG,1731302445
191,udachny,66.4167,112.4,-13.08,94,100,1.97,RU,1731302446
192,crane,31.3974,-102.3501,15.59,31,15,3.14,US,1731302447
193,uturoa,-16.7333,-151.4333,26.62,84,47,7.65,PF,1731302448
194,mesquite,32.7668,-96.5992,18.34,70,0,1.54,US,1731301869
195,pangody,65.85,74.4859,-14.03,93,100,9.51,RU,1731302451
196,conselheiro pena,-19.1722,-41.4722,21.56,88,100,1.04,BR,1731302452
197,motueka,-41.1333,173.0167,15.67,65,0,4.57,NZ,1731302453
198,al bawiti,28.3492,28.8659,15.31,52,9,1.21,EG,1731302454
199,villa ojo de agua,-29.5,-63.6938,14.28,81,100,14.02,AR,1731302455
200,pacocha,-17.5833,-71.3333,17.75,84,100,1.0,PE,1731302456
201,flying fish cove,-10.4217,105.6791,28.82,83,100,5.14,CX,1731302457
202,lata,40.1629,-8.3327,11.22,97,36,2.0,PT,1731302458
203,mount pearl,47.5166,-52.7813,2.86,82,75,7.2,CA,1731302459
204,geraldton,-28.7667,114.6,25.23,53,0,7.2,AU,1731302357
205,wynyard,-41.0,145.7167,14.84,48,0,4.81,AU,1731302461
206,cidreira,-30.1811,-50.2056,19.6,85,0,7.9,BR,1731302462
207,okha,53.5739,142.9478,-2.3,80,100,12.24,RU,1731302463
208,umm kaddadah,13.6017,26.6876,21.95,28,99,7.9,SD,1731302464
209,zeribet el oued,34.6828,6.5111,18.73,51,1,2.11,DZ,1731302466
210,utrik,11.2278,169.8474,28.4,77,7,8.52,MH,1731302467
211,malakanagiri,18.35,81.9,27.75,51,7,2.15,IN,1731302468
